X,Y,OBJECTID,taz_key,GEO_ID2,CoCFlag,Minority_7,LowInc_30,GlobalID,ShapeSTAre,ShapeSTLen,PopDensi,Land_Use,vertex_index,vertex_part,vertex_part_ring,vertex_part_index,distance,angle
550902.790784917,4182503.44293133,"13","32","06075011100","1","0","1",{78D127DA-CDA4-4E37-B981-CBB3760E4ABC},393816.449218750000000,2553.151575969171063,94.25862068970,,"0","0","0","0",0.00000000000000,262.61936330494990
550888.977870323,4182501.58218336,"13","32","06075011100","1","0","1",{78D127DA-CDA4-4E37-B981-CBB3760E4ABC},393816.449218750000000,2553.151575969171063,94.25862068970,,"1","0","0","1",0.00015781362566,306.63414599409731
550880.641724352,4182553.90094595,"13","32","06075011100","1","0","1",{78D127DA-CDA4-4E37-B981-CBB3760E4ABC},393816.449218750000000,2553.151575969171063,94.25862068970,,"2","0","0","2",0.00063850676304,348.98103947399119
550872.037305546,4182606.88362509,"13","32","06075011100","1","0","1",{78D127DA-CDA4-4E37-B981-CBB3760E4ABC},393816.449218750000000,2553.151575969171063,94.25862068970,,"3","0","0","3",0.00112566153189,349.07606763776283
550858.011985807,4182696.44764671,"13","32","06075011100","1","0","1",{78D127DA-CDA4-4E37-B981-CBB3760E4ABC},393816.449218750000000,2553.151575969171063,94.25862068970,,"4","0","0","4",0.00194802010660,348.62775414266287
550855.912897879,4182708.41762995,"13","32","06075011100","1","0","1",{78D127DA-CDA4-4E37-B981-CBB3760E4ABC},393816.449218750000000,2553.151575969171063,94.25862068970,,"5","0","0","5",0.00205844143971,342.43579671040101
550853.0439837,4182716.72139741,"13","32","06075011100","1","0","1",{78D127DA-CDA4-4E37-B981-CBB3760E4ABC},393816.449218750000000,2553.151575969171063,94.25862068970,,"6","0","0","6",0.00213998240261,342.75427674288801
550836.857235856,4182814.14979816,"13","32","06075011100","1","0","1",{78D127DA-CDA4-4E37-B981-CBB3760E4ABC},393816.449218750000000,2553.151575969171063,94.25862068970,,"7","0","0","7",0.00303662629713,349.61462884668936
550835.013391434,4182827.5637747,"13","32","06075011100","1","0","1",{78D127DA-CDA4-4E37-B981-CBB3760E4ABC},393816.449218750000000,2553.151575969171063,94.25862068970,,"8","0","0","8",0.00315926766859,349.22922354928477
550819.96112381,4182912.46147574,"13","32","06075011100","1","0","1",{78D127DA-CDA4-4E37-B981-CBB3760E4ABC},393816.449218750000000,2553.151575969171063,94.25862068970,,"9","0","0","9",0.00394283717769,35.21342564976653
550834.825691573,4182914.99431976,"13","32","06075011100","1","0","1",{78D127DA-CDA4-4E37-B981-CBB3760E4ABC},393816.449218750000000,2553.151575969171063,94.25862068970,,"10","0","0","10",0.00411326236943,82.26251391647570
550971.497475861,4182940.24918647,"13","32","06075011100","1","0","1",{78D127DA-CDA4-4E37-B981-CBB3760E4ABC},393816.449218750000000,2553.151575969171063,94.25862068970,,"11","0","0","11",0.00568275778024,82.16673601290834
551112.398726971,4182964.86712791,"13","32","06075011100","1","0","1",{78D127DA-CDA4-4E37-B981-CBB3760E4ABC},393816.449218750000000,2553.151575969171063,94.25862068970,,"12","0","0","12",0.00729898790673,82.55009582838957
551164.645062572,4182973.62407996,"13","32","06075011100","1","0","1",{78D127DA-CDA4-4E37-B981-CBB3760E4ABC},393816.449218750000000,2553.151575969171063,94.25862068970,,"13","0","0","13",0.00789782929539,82.64344312407964
551256.470171018,4182989.28513173,"13","32","06075011100","1","0","1",{78D127DA-CDA4-4E37-B981-CBB3760E4ABC},393816.449218750000000,2553.151575969171063,94.25862068970,,"14","0","0","14",0.00895065079589,82.54690583628867
551378.990006643,4183010.35349053,"13","32","06075011100","1","0","1",{78D127DA-CDA4-4E37-B981-CBB3760E4ABC},393816.449218750000000,2553.151575969171063,94.25862068970,,"15","0","0","15",0.01035562023838,82.70793250865768
551403.706327826,4183014.3912327,"13","32","06075011100","1","0","1",{78D127DA-CDA4-4E37-B981-CBB3760E4ABC},393816.449218750000000,2553.151575969171063,94.25862068970,,"16","0","0","16",0.01063879181991,125.24325341824986
551421.671394503,4182915.19962753,"13","32","06075011100","1","0","1",{78D127DA-CDA4-4E37-B981-CBB3760E4ABC},393816.449218750000000,2553.151575969171063,94.25862068970,,"17","0","0","17",0.01155521664569,168.68536219414628
551426.357884865,4182883.82902787,"13","32","06075011100","1","0","1",{78D127DA-CDA4-4E37-B981-CBB3760E4ABC},393816.449218750000000,2553.151575969171063,94.25862068970,,"18","0","0","18",0.01184277458716,169.50855929225247
551431.676034671,4182850.02117325,"13","32","06075011100","1","0","1",{78D127DA-CDA4-4E37-B981-CBB3760E4ABC},393816.449218750000000,2553.151575969171063,94.25862068970,,"19","0","0","19",0.01215324166348,168.86259191291921
551437.894721027,4182813.00148235,"13","32","06075011100","1","0","1",{78D127DA-CDA4-4E37-B981-CBB3760E4ABC},393816.449218750000000,2553.151575969171063,94.25862068970,,"20","0","0","20",0.01249409293973,169.69249127107281
551441.774319835,4182783.95582127,"13","32","06075011100","1","0","1",{78D127DA-CDA4-4E37-B981-CBB3760E4ABC},393816.449218750000000,2553.151575969171063,94.25862068970,,"21","0","0","21",0.01275943777685,171.63113464464871
551444.384511809,4182760.78270912,"13","32","06075011100","1","0","1",{78D127DA-CDA4-4E37-B981-CBB3760E4ABC},393816.449218750000000,2553.151575969171063,94.25862068970,,"22","0","0","22",0.01297030548066,171.18747404842290
551452.295001201,4182706.68674454,"13","32","06075011100","1","0","1",{78D127DA-CDA4-4E37-B981-CBB3760E4ABC},393816.449218750000000,2553.151575969171063,94.25862068970,,"23","0","0","23",0.01346582452839,168.95109115598657
551470.460278496,4182603.83499506,"13","32","06075011100","1","0","1",{78D127DA-CDA4-4E37-B981-CBB3760E4ABC},393816.449218750000000,2553.151575969171063,94.25862068970,,"24","0","0","24",0.01441492227787,215.39549945027267
551438.002068048,4182598.5283192,"13","32","06075011100","1","0","1",{78D127DA-CDA4-4E37-B981-CBB3760E4ABC},393816.449218750000000,2553.151575969171063,94.25862068970,,"25","0","0","25",0.01478677842749,263.01854345010241
551326.813200194,4182580.9692971,"13","32","06075011100","1","0","1",{78D127DA-CDA4-4E37-B981-CBB3760E4ABC},393816.449218750000000,2553.151575969171063,94.25862068970,,"26","0","0","26",0.01605988461769,262.82131271194913
551267.353374622,4182570.72387487,"13","32","06075011100","1","0","1",{78D127DA-CDA4-4E37-B981-CBB3760E4ABC},393816.449218750000000,2553.151575969171063,94.25862068970,,"27","0","0","27",0.01674171843986,262.60439698229334
551181.415323416,4182556.31998742,"13","32","06075011100","1","0","1",{78D127DA-CDA4-4E37-B981-CBB3760E4ABC},393816.449218750000000,2553.151575969171063,94.25862068970,,"28","0","0","28",0.01772668285205,262.52843683845816
551038.045320375,4182531.1310792,"13","32","06075011100","1","0","1",{78D127DA-CDA4-4E37-B981-CBB3760E4ABC},393816.449218750000000,2553.151575969171063,94.25862068970,,"29","0","0","29",0.01937132836014,261.70290300114942
550902.790784917,4182503.44293133,"13","32","06075011100","1","0","1",{78D127DA-CDA4-4E37-B981-CBB3760E4ABC},393816.449218750000000,2553.151575969171063,94.25862068970,,"30","0","0","30",0.02092825111832,262.61936330494990
